artist_id,artist_mbid,artist_7did,artist_name
'ARKL75U1187FB5B8B6','84c38d3a-3400-4c28-b988-90558bb6fae0',11528,'BoDeans'
'ARRH2S81187B98C8AA','fb7659b2-5ceb-45ac-be95-b0c1f832caec',170417,'Bongzilla'
'AR243ZT1187B9A98D2','ff609eb0-5425-4963-9e55-85d729f4648e',21569,'Otis Spann'
'AR6QQY41187B990574','b182fec1-00ad-4082-859d-1f06a2029495',16266,'Danny Wilson'
'AR23F7J1187B9A550F','5b6d8437-b0d8-453f-a841-90562a69532d',22404,'Al Dexter'
'ARDNS031187B9924F0','e29641cc-3658-4886-89d7-3a146d2d3d75',14504,'Tim Wilson'
'ARUACR61187FB3AB37','833ffe4c-1df1-4dda-91e4-d0f2d4db84a7',100208,'Kisha'
'AREMHJX1187FB41DA','ad6dca0e-2ce0-46d1-a572-b97ab04596c1',67718,'DJ Vix'
'ARLUAK21187B9B785A','7c09d8af-895a-4337-bb46-b4b6dcabff10',1822,'Ziggy Marley And The Melody Makers'
'ARCLBZ01187B98D025','c3c91d78-6b95-4b1b-976c-3d1d12970628',196046,'Crematorium'
'ARVJ6541187B9A4C3E','56956605-de13-467a-9348-1a92ee2bc27',200224,'M\xc3\xa5negarm'
'ARPHH7Z1187B9B6A3A','891004ce-89a3-4512-9141-d0098d376cfc',182084,'Franco'
'AR03BDP1187FB5B324','45a663b5-b1cb-4a91-bff6-2bef7bbfdd76',214,'Britney Spears'
'ARRM70G1187B9A7F64','7032cf8a-ca2e-48c4-bffe-a9a77e223bb',6190,'Junior Kimbrough'
'ARU4JBP1187B99263F','9c347bf2-6c29-419e-85b6-43bf95f7229f',4426,'Liquid Gang'
'ARPTHEV123E29C17B3','d139d4d5-51fe-40d0-94b8-007786e1e346',304607,'Flowin Immo et Les Freaqz'
'ARLIIVS1187FB5583','5ae54dee-4dba-49c0-802a-a3b3b3adfe9',4301,'Philip Glass'
'ARU3YYC1187FB43FEE','1fc56cff-f0a0-4ce2-ab1f-ac49cf3b073f',122539,'Luis Alberto Spinetta'
'ARZWK2R1187B98F09F','606bf117-494f-4864-891f-09d63ff6aa4',6795,'Rise Against'
'AR1AIC51187B98C03F','a18094be-830b-4f09-9326-802deabdd778',91492,'Theodor Zox'
'ARS0W831187B9AF0B7','256f09e5-43f4-4b3d-836c-2cc9283d22c0',32440,'Maximilian Hecker'
'ARHPDQM1187FB3C318','73b8dddb-ec29-4d11-b449-d97fde73f07',16292,'Albert Collins'
'ARMRCET1187FB52049','4f9675d2-f6d5-486c-9b26-33dcca998500',30491,'Fergie'
'ARAIABB1187B9AC6E2','f053ae01-dae6-4aae-9883-e8c279fdbef4',623,'Seal'
'ARE54I01187FB3AE3D','19a93c4a-04d3-40e6-b0e2-c13eb0b85913',254962,'Flink'
'AR2O84Q1187FB5BF74','93bc4272-a072-49d6-a9e4-5ee32cacd0af',386286,'Salt The Wound'
'ARTWKNF1241B9C87E9','',214928,'ZENFU'
'ARSZX2G1187B98FCCF','50eec634-7c42-41ee-9b1f-b41d9ca28b26',70835,'Korpiklaani'
'ARTH9041187FB43E1F','b95ce3ff-3d05-4e87-9e01-c97b66af13d4',262,'Eminem'
'ARH861H1187B9B799E','d43d12a1-2dc9-4257-a2fd-0a3bb1081b86',1448,'Johnny Cash'
'AR502DZ1187B98F8E1','bc73bbad-ebd9-45c0-8581-260304b9c008',328794,'Brian Dullaghan'
'ARDE7I31187FB43352','70053535-a3ae-4aad-a6cd-68c55085b843',15540,'Gonzalo Rubalcaba'
'ARH9NBO1187FB43904','bea82584-578d-4be3-bf96-ce0df5eeda81',206175,'David Taylor'
'ARGOAMH11F4C844C07','',60881,'Domna Kountouri'
'ARZEBW31187FB586EA','0b0bd0c0-3723-4715-87d7-9d57f0eb240f',2998,'Anne Dudley'
'ARG53231187FB3982D','9701356d-08d9-45ba-975d-977ab466e7be',14443,'The Starting Line'
'ARIMW0M1187B99EC59','245a7f6a-1100-4a2d-a67f-df8d9e7b7b9d',96053,'TEN MADISON'
'ARXSPYZ1187B98972A','64ef6088-309f-4660-91da-a3e4c57ad379',174553,'Carl Belew'
'AROSW2I1187FB44866','d726a2b3-5c6b-4cae-8e79-81d52db9462',177675,'Sonora Carruseles'
'ARGEZ5E1187FB56F38','f12a9472-02be-40f4-9ff3-a836e2b9ece8',20072,'Audio Adrenaline'
'ARLFH5Y1187FB44A89','b4735f38-7913-482b-8288-0046753f62e3',82348,'Tito Allen'
'AR3EVEE1187B9994B7','f564b042-1bec-4990-b730-151a0a8fd59a',141602,'Abijah'
'AR7TTCH1187FB3F95C','d4cc0ed5-0f76-4188-9e14-2a23ca12188a',13637,'Leon Russell'
'ARTZ90C1187FB55D81','5cf7e696-3c52-4021-866c-7ce71ab8671a',4945,'Jimmy Wayne'
'ARLD4VD1187FB39009','4a80dd86-e57e-4600-af53-1166bdc6d9b9',38839,'Fast Eddie featuring Kool Rock'
'AR7074B1187FB4C39','6e3ed724-c5a3-4bcd-8ebc-89da0c33b6b8',41720,'Ann Lee'
'ARBMHBC11F4C8403A2','',393531,'Hushabye Baby'
'ARQATWU1187B98EE26','91e2e08f-abd7-44d6-9a84-b8a4afa8a265',41585,'Ill Nino'
'ARCII0J1187FB3A1B4','36f93472-e1c2-45bc-b141-801e79b7de14',35758,'The Marx Brothers'
'AR8U8G41187B9A833','110500b0-78a7-41cb-8535-9f37ab35a902',190803,'Tim Exile'
'ARJG2ID1187B9A767E','23228f18-01d5-493e-94ce-cfcde82a8db2',1362,'The Jam'
'ARA373P1187B9A74C7','03928095-62f3-455b-af68-443c08279564',66586,'Barbarito Diez'
'ARHN74X1187B98D79F','e46504cb-1aac-4b9a-9581-451778df9eba',4047,'Bill Engvall'
'ARI4S0E1187B9B06C0','50a45c3d-b54b-4fd5-bb83-5046e4ff6813',960,'David Arkenstone'
'ARXGASQ1187FB3C727','a5474ad8-1671-4ace-a5ea-82df42245bda',40894,'Camp Lo'
'ARKBTAQ1187B9B4219','3cb2ba2a-81f9-49b6-8e9d-71dcf5fb56cc',144538,'David Johansen'
'ARD8JVH1187FB4DA04','0053dbd9-bfbc-4e38-9f08-66a27d914c38',6678,'Bad Company'
'ARK9W051187FB4B783','c9458568-f6e1-47a5-9477-2d58e3e18ed',571723,'Zombina & The Skeletones'
'ARBOG0H1187B99F775','3b221a54-54b9-435c-a7f3-5cf8e2ce9fb2',11001,'MxPx'
'ARA0JEL1187B998FA3','52203489-c14f-4e60-8aa4-4691da1c974f',145932,'Zumpano'
'ARZXVY01187B9972EC','fef837d2-c71f-4c55-9f34-de500aa3966e',79939,'Davol'
'ARUT16P1187FB532A4','c48ab37a-e9ee-491c-b370-e4cb8061ebb7',59262,'Tyrone Davis'
'AR6PN8Y11C8A421C16','5b6ced00-c2f6-4f94-a584-c1a6a154dafe',41277,'Aimable'
'ARJSGPI1241B9C8855','',133083,'Birmingham Jubilee Singers'
'ARTT43U1187B9A9E9','8ca7761c-b5eb-44b7-b4e3-273e70466688',34714,'Shelby Flint'
'ARJ84561187B993E3E','86017973-25c2-41a5-9a37-2843878199af',23323,'Ill Harmonics'
'ARDNQ0R1187B9BA1EF','dbfd61ef-fce1-4803-9f18-7bfdd3996508',41388,'Lonnie Johnson'
'ARO1NHM1187B9B9D27','f8baa848-8d5f-4151-b837-0d1dff59deb7',87706,'Los Solitarios'
'ARI3Y441187FB4B921','5f0604d8-09d6-49da-a456-ca18f7aeeb76',187298,'The Dils'
'ART8F8O1187B9A538D','d2ced2f1-6b58-47cf-ae87-5943e2ab6d99',149235,'Herbert von Karajan and Turin RAI Symphony Orchestra'
'ARNARI81187FB3C9A7','b1091eee-4198-4e66-8b15-05ae12b03353',10621,'Flora Purim'
'AR4W9EZ1187B99282A','adf3d1c6-6a7d-446c-b191-28bac7a2ee4a',176599,'Kenny Neal'
'AR95QS71187FB3F49A','743b4816-7687-46bf-b4e8-8618c0062e02',17537,'Joi'
'ARRPOUR1187FB4D0BA','dbd1b11b-0ab2-4afd-8264-c2909237b6f',48562,'Aceyalone'
'ARGXIE31187FB55B48','dde3d9b1-0e44-48bc-b0c9-d739b3570000',39786,'Tech N9ne'
'AR6W5MS1187FB3BF47','9b106beb-12b5-4525-8025-42e295a2b90a',4621,'Little Feat'
'ART6QCS1187FB40CBD','2d6d27d3-b18b-4436-b174-b155ca917ab6',141951,'Los Aut\xc3\xa9nticos Decadentes'
'ARFVYJI1187B9B8E13','83b9cbe7-9857-49e2-ab8e-b57b01038103',1244,'Pearl Jam'
'ARMIMHT1187B98F038','98cb2d05-0b47-4bc6-b345-792eecbe8449',1538,'Teena Marie'
'ARM86R71187FB4CBB4','c6d2724e-4c37-43e7-bd7b-daa70443844a',44243,'Christian Quast'
'ARDIKTV11F43A69FA4','698e8ecf-2fb1-4e87-92d5-0aede61431e5',52041,'Deodato'
'ARY1VGA1187FB5A39E','825a918f-09fa-40ee-9c27-b0921d48bdb',15918,'Tom Cochrane'
'ARHD3RX1187FB3A7DA','37367b2f-69e4-4df2-9e64-75ca6204764',99,'Steel Pulse'
'ARWQ3M31187FB4CF01','d8b15d32-609e-44a6-bff1-65c4df53a9f1',5061,'ARRESTED DEVELOPMENT'
'ARJXULI11F4C83C865','',201735,'Bela Fleck And The Flecktones'
'AR9RTS51187B996CC8','73aaebf1-c6a4-4211-9089-62e65f9e199a',7962,'Bitty McLean'
'ARQOATR1187B9AE959','e3434cc7-d348-491a-9dc8-325af3d9086d',4782,b"Jane's Addiction"
'ARHKQGH1187B9A4DB4','8ebd161e-f45e-41b9-8019-fcbd094c327f',148697,'In Extremo'
'ARTKOGW1241B9CD42','',445025,'DJ Omega'
'AR7Q0O91187FB4DBE7','72f62a4c-0042-49f6-b4dc-2f5b27dd289f',88222,'Plies'
'ARKFYS91187B98E58F','79c403f9-5467-4f23-8426-9ca3fc60a115',432935,'Jeff And Sheri Easter'
'ARU22AM1187B9961EA','ac839735-6abe-4a65-a18c-05f132574641',143296,'React'
'ARGBGC71187FB3DD0','4eb42e20-021e-40e3-897c-d0ae81d988fd',388422,'DJ Nasty'
'ARZWBH21187B99ACE1','ebe40a4e-b33d-4ba5-af20-d48da3a98517',412383,'G\xc3\xbcnter Noris'
'ARWGY6U1187B98B228','e09db85d-2de6-41e1-a856-d131089ab49d',289256,'Orquesta Sublime'
'AROEVV91187B9B7F4F','23db55fc-da4f-4f1d-8ab4-e9d96cc9e5de',332739,'Milieu'
'ART3TOJ1187B98D1A','9cfcc3b7-c3ae-4386-8efb-031a387f7e3d',366020,'Dart'
'AROF8OV1187FB55B85','3b795eb4-8971-494d-94f0-963c22eb15d5',325535,'Pelle Carlberg'
'ARV2X851187FB41A78','49eba4ed-cd7a-4940-97ff-488cb3ed551c',89686,'Open Hand'
'ART3KT21187FB450DC','a16e47f5-aa54-47fe-87e4-bb8af91a9fdd',3310,'Ennio Morricone'
'ARCQ3LZ1187FB49B42','45d921dd-aaf9-4f72-9a8c-101ec24b9186',273042,'Koffi Olomide'
'AR7JPF81187B988D23','eaf2d37b-324f-44a7-85b2-3b247e8984fc',143147,'Charlie McCoy'
'ARMHMPG1187B9A9A4A','53f402db-7d17-4927-ba1c-35e75f76c24e',23692,'The Wreckers'
'ARSJ46X1187FB4A62A','d9fa989e-6b89-4c13-93f3-b0abdae581ea',94376,'Various Production'
'AR812NT1187B9A0355','e840065f-24f7-4395-8235-e644f5abf9b4',49563,'Stephen Warbeck'
'ARL3HJZ1187B9A35E','f4859026-c646-4024-9c08-d9c7f11433f',48005,'Johnny Daye'
'AROLMXS1241B9C6915','',457243,'An Cafe'
'AR0N9BV1187FB3AD01','828b1208-2ce4-40c1-b659-11d7f540748c',20860,'Gene Pitney'
'ARIJ7MR1187B9B484E','415cab7b-226a-49c7-9c1c-92e96ab93876',16968,'Peggy Zina'
'ARBJC9U1187B9A70AC','0822ea07-20f8-4740-a97a-a827cb6ce883',20734,'Kitty Kallen'
'ARLWEID1187B98DE3C','5803c81e-739a-4057-9a5c-cf84e55db630',1413,'Chucho Vald\xc3\xa9s'
'ARJIHNW1187B990FAA','6cb2bc33-6e78-4154-8005-04eec75608ef',182039,'Tshala Muana'
'AR5J8XN1187B9B712E','282c0a37-9b7f-4873-83e6-21bf00d9185d',1385,'Extreme'
'AR05XFO1187FB4DAE5','91256980-7b7b-4777-9658-e1e155fd2a50',136165,'Mat Maneri'
'AROGWRA122988FEE45','',193376,'Christos Dantis'
'ARZLS3G1187FB38347','e9c5f649-3d11-4af7-bab7-0ce27371a1a8',195941,'Orquestra'
'AR72Q9R1187B98A664','2f929d46-5246-4cc8-b117-ed899907fad6',203519,'Hatiras'
'ARA2ZTN1187B98E3ED','e405ae2e-46cd-4298-af9e-9e2fbd8e6283',52577,'This Moment In Black History'
'ARJJ8I01187FB4CE98','f0b1b23e-cb08-49b4-8da4-5d8cb2c4005f',66649,'Joselito'
'ARDK6QW1187B9B8D85','a57d7a1b-b7ef-4f36-bbf6-9f5a167cd08d',7217,'UK Subs'
'AR4CL6I11C8A4158B4','65a950b6-e4c4-4c0d-b27a-935b3b66c60c',25018,'Imiskoubria'
'ARC87OG1187B99F540','85d019b7-91f9-4b75-8560-d5bbe90c868c',29219,'Julie Roberts'
'AR6HA5Z1187B99C04E','db88cfb9-581b-4857-8c8f-1baa545f88fa',33918,'Seatrain'
'ARUTP601187FB388AC','8d05c917-cae7-43f1-9357-7a66c52a1921',60411,'The Elders'
'ARW9DSD1187B9A0345','cf940d52-04ef-46bd-aa83-058c4f3a710f',36713,'Los Chunguitos'
'ARGS39X1187B991939','0ab89ff8-f54e-4459-9aaf-ac48ca42d424',49585,'Harald Kloser / Thomas Wander / Thomas Schobel'
'ARHINI31187B995C1D','da3df0b1-1945-455b-beb7-701cf76a4da4',7694,'Singing Melody'
'AREHMUC1187B98B91','eed40f68-fb41-41c9-81f4-df9db9968146',93561,'Java'
'ARSOPEA1187B9B0F98','3ae9c9d9-0860-4c10-9e84-d106c326deba',471594,'The Rodeo'
'ARUME5Q1187B9B1AA7','93a1aab7-bdbc-4334-bcf6-6889f7a2682a',528049,'Kristine W.'
'ARKBTPV1187FB38A79','5799b78e-a103-427b-8a1d-0bfeaddbb0c0',10423,'Faron Young'
'ARJRIM91187FB3EF9A','ce69efdf-234a-412e-8017-781f1214cff6',187501,'Paul Avgerinos'
'ARXEH1P1187FB378A3','a7d734d6-b586-4fdc-9f00-a9e58f38b78f',207539,'The Prefects'
'AR0WGXC1187B9AAC99','c0c1183e-6940-48ca-8f96-98250fcb3ef1',18252,'Slum Village'
'AR11YQ81187FB3C654','3248ed2d-bada-41b5-a7b6-ac88faa1f1ac',30037,'Dixie Chicks'
'ARQHJLT11F50C4C101','',126404,'Bomb Squad'
'ARENLSD1241B9C71B9','',172558,'Mack and Jamie'
'ARAVPU21187B993957','685c472f-9abf-4490-a845-6aa13b0922af',34720,'Don & Juan'
'ARFILWJ1187B9ADDBF','0059d0f1-8d04-4363-a2b2-d79f8b9a29b8',455229,'Mar\xc3\xada Elena Walsh'
'ARSPQ0H1187B999944','70ac2314-d7d8-4435-b56c-9bad9a516642',41877,'Eric Burdon'
'ARPNJUD122BCFCB9B4','06d6e5ec-1acd-482b-a780-f77135532c19',-1,'Dark Shadows'
'ARDFZE61187FB45994','d8881a78-e6c6-4cd7-bd43-1a6c4b8ef4ba',15596,'Jake Hess'
'ARMQUXW12509412F2F','',38393,'Georges Parys'
'AR1GYND1187B9A9CD3','044cb251-d596-40e2-a4a8-6b2943af05c9',89684,'Diesel Boy'
'AR1WC0X1187B991056','4854429b-66f7-41c0-a89c-030bb7ccf958',2180,'Jefferson Starship'
'AREW1KO1187B98E42E','c2545eb8-62c0-477d-aba8-4b7c404be478',438878,'The Irish Tenors'
'AR7U5BZ1187B997FFC','75fd76eb-09d8-4567-b24a-5fe43334ed15',92340,'Keep Of Kalessin'
'AR7EF9H1187FB4D8A3','54f2ee7c-7f19-4d69-8577-1d61637eafbe',327361,'Rod Bernard'
'ARYML1P1187B9AF39','d2db1078-c170-4e22-b261-14f3ad60a690',4705,'Devo'
'ARGF5QG1187B9AC84F','4ee38720-c979-4a68-8969-968300508eea',456656,'Geiom Feat. Marita'
'ARZISVS11F4C841860','',-1,'Pep Laguarda & Tapineria'
'AR4YKRO1187B9B7829','f0e820ab-f31a-400d-9c5e-8be1c8c38726',26964,'The Red Jumpsuit Apparatus'
'ARODFDS1187FB57348','6bf591c4-b050-478e-9d9f-167394d66c90',227835,'Sergio Mendes'
'ARJD6I01187FB50347','e2367946-ece1-4de7-995c-12395c2b94f2',144699,'Anna Abreu'
'ARRR4Y81187FB524CE','b23aba18-7411-4f81-8f4c-2944f544fb74',176596,'Lonnie Brooks'
'ARAJPHH1187FB5566A','91d01e5f-252d-469d-a16a-12c613e48e5d',14045,'The Shangri-Las'
'ARE8HA81187B99A95F','35497426-d0dc-4cfa-a3ae-e027383ffebd',4198,'The Katies'
'ARUI2ZJ1187FB3ACA5','11b08537-e3cb-49c7-be55-481ab173dcb0',193710,'Mario Telles'
'AR0J0OD1187FB3AFB5','bf914ef0-9819-4186-a283-093829debb0c',22874,'The Scare'
'ARUEYGC1187FB3D94','daf21090-1c0f-46e6-bd76-9cd4d6ef7128',130660,'The Chi-Lites'
'ARZXLZD11E2835CEA7','7e54e412-bb31-481c-9a5b-cd5ba7199f46',61142,'Jason Michael Carroll'
'AR88F5X1187FB3EA17','613260c3-d620-4645-94cd-33cd55f29b1e',1446,'Loretta Lynn'
'ARVESGN1187FB3E10C','c29dd056-ae67-485d-aa60-b6dcfdb741e6',98709,'Rauni Pekkala'
'ARSE5NP1187B9B98A','0bc858a1-3573-4216-9423-c96dd8c72919',598,'Twista'
'ARUKJUP12086C14589','8a5f2736-bcde-4a2e-8d50-72631d66a7ef',2799,'Ram\xc3\xb3n Vargas;Vesselina Kasarova;Vladimir Jurowski'
'ARE36MM1187B991E50','9481010a-db23-469d-87df-b04118850ef',8588,'Blind Lemon Jefferson'
'AR0G47L1187B98CC6D','1ab5ec20-743e-4f11-9c37-237f190ae447',30249,'Frank Chacksfield'
'ARPAL0H1187B990A8E','09b8609a-ca39-4f34-a2f6-5b81afc2c32d',15660,'Nana Mouskouri'
'ARWXHRS1241B9C7A1E','',507172,'Thomas Battenstein'
'ARJ2PMY1187FB5B563','16dad944-c492-43dd-88ed-e0b7ac520c40',80,'Burning Spear'
'ARE0X5X1187B993A86','0ce8de4d-8aa0-4093-b84f-66a18096f18e',205738,'Midwest Product'
'ARWR6RK1187FB3AB52','a6bfadac-d028-4bda-a5b2-e1468f556569',10682,'From Autumn To Ashes'
'AROJVWY1187B9A826C','f1093867-0fc0-4ca4-b7fa-ff59ad275343',308089,'Mademoiselle Sane'
'ARUFCZ41187B9A868E','f74c14eb-148f-4f2e-a505-279a2cd88ab8',7771,'Passion'
'AR2G8UI1187FB3F33C','19ae1de4-1b15-45a0-9104-2d489a2df1cf',175644,'Barbara Fairchild'
'ARC8CQZ1187B98DECA','ff6e677f-91dd-4986-a174-8db0474b1799',1613,'Jack Johnson and Friends / Matt Costa'
'ARQXR6R1187FB46FD6','b10db9ad-b4c3-47f3-a7a4-37864b134f65',27818,'Soul Asylum'
'ARMTTWG11F4C83E6AE','',370173,'Mohammad Nouri'
'ARSX6IX1187B9B640C','21d177ba-3d51-461e-9b3f-ad9a80b419dc',27575,'Big Star'
'ARWAVUU1269FB34A47','',181691,'Magic Systeme'
'ARIZODP1187B9AD272','4ef7a9e2-2cf5-483a-8616-ef7791a98026',16303,'Bryan Ferry'
'ARQXC7V1187FB4DA9E','07e748f1-075e-428d-85dc-ce3be434e906',9731,'DAVE MATTHEWS BAND'
'AR08YJF1187B9B2D59','fe75adb0-a2bd-4e34-91d4-91974c4eab13',22086,'Joe Turner'
'ARZCXO91187FB53708','c7d13c98-8896-4105-b68d-698d4f54ffcd',11550,'Justin'
'ARV5O111187B9A3F3A','da1faeaa-82c8-4072-b40f-0f7f2e1efe76',3648,'Carl Davis'
'AR4AEIP1187FB4030A','355e35eb-86d4-454d-ac9c-656a2271181d',10744,'Wamdue Project'
'AR2XBPG1187B98FCBE','3dc88d73-6125-48e6-9a6a-b3024d62ee51',145049,'Planxty'
'ARG1UAO1187FB55E50','5f3c4fe0-fc71-4455-99e6-abd0e8c4462e',8948,'Sammi Cheng'
'AR52QY11187B99FC59','e96c88c1-44ab-4bab-8d2a-2cc68715f798',7926,'Anthony Cruz'
'ARYDFJA1241B9CBFF2','',285519,'Jacques Douai'
'ARU230L1187FB4642F','2e1f1a21-9c2b-49e1-b0ab-0061ff019bd3',27985,'Walter Hawkins'
'ARODBRG1187FB3FD99','172e1f1a-504d-4488-b053-6344ba63e6d0',451,'Nick Cave & The Bad Seeds'
'AR91C8S1187B990901','70248960-cb53-4ea4-943a-edb18f7d336f',15122,'Bruce Springsteen'
'AR3FE581187FB3F90A','d2299099-e617-46dd-b013-ba0b4c72bc63',912,'Fabolous'
'ARAMB6Q1187B99DE68','72f0b9db-f319-4817-a778-d1c3c9fc03d5',28593,'Fiona Sit'
'ARJIWJH1187FB3F6B9','b1768592-294e-4e15-a892-eb8837dec3e4',51754,'Elvin Bishop'
'ARKAL321187B9AD4BE','5f5e87f9-9eca-44b9-97c6-34694b44a9a1',52612,'The Gathering'
'AR9ST641187B99B4DE','1015b5e3-8e3d-4d78-806a-c530cf742e66',11300,'Cal Tjader'
'ARC8CQZ1187B98DECA','ff6e677f-91dd-4986-a174-8db0474b1799',1613,'Jack Johnson'
'AR7LIU31187B98EF11','c7b612cb-384a-45a2-9948-c35edfdbbc4a',168536,'Rita Chiarelli'
'ARWUK9L11C8A42C37','9742f806-84e1-4036-8b6c-34b25a39d533',348492,'Workhorse'
'ARPISA41187FB3DE42','696989bc-c9a8-4ba8-a99b-b8015dba577f',235338,'Humble Pie'
'AR3GCDF1187B99DC06','',328443,'Gathering'
'ARXB4TY1187FB5AA25','d344e2f3-46cc-4390-8e78-3a55f3cd4563',102687,'P.O.S'
'AR2UQQ51187B9AC816','44a7f7d5-79df-4f44-8f5e-02dfc0626904',30031,'Gipsy Kings'
'ARGTDDO1187FB55687','e1fbdc15-59df-48ec-b9f0-4d1fd1f333ff',65286,'Languis'
'ARJNUTI12802FDFB5A','',597566,'Hard Romantic'
'AR3AY3R1187FB52CF0','1edead6d-6c01-4ad4-9cce-c334bf7edf23',2185,'Tracy Byrd'
'ARWSMC91187B9AD369','eda80ec9-730c-41d2-a2f2-6bf1140126f7',187997,'Helen Love'
'ARQQZEQ1187FB3EAC0','28814e91-5718-4c10-af96-093c3888c4f3',518617,'Connemara Stone Company'
'ARKN9J11187B9B210D','84a1dc4c-ae51-478d-9996-5f7d4577fe48',81520,'DJ Clue / P. Diddy'
'ARGJBTS1187FB4273A','854ae827-88a3-473c-8b7c-4895fa869be7',84428,'Lidell Townsell'
'ARDMPZU1187B99A472','dcd7a1c6-96a2-4f0b-a3c8-c79433af2cea',23256,'Light Of The World'
'AR2CM6U1187B999EB7','d145a57e-7afb-4793-8cc4-2fad292374ef',106079,'Basic Channel'
'ARKZXSQ1187B9AC9F3','9a58fda3-f4ed-4080-a3a5-f457aac9fcdd',5633,'Joy Division'
'ARKWXDA11F4C83B665','',21994,'Mills Brothers'
'AR6TKMQ1187B9ACEDA','6a231fdd-160e-40bc-bcd1-76da3c569a3c',4495,'Barry Mann'
'AR3GYKU1187B996AB9','61a75fe6-c102-49bf-96b0-40a1b85c8e7c',43762,'Jim Kweskin with Samoa Wilson'
'ARUAOGE1187B9B3D50','bc62fd76-11bd-45ca-bfc4-d8690154a86f',275329,'Fake Problems'
'ARQDHPO1187B9A9F7C','f41564c8-b5dd-4d01-8227-bcb262910d59',7810,'Anthony Watson'
'AR219DK1187FB4CEFC','22a096ef-c70d-4d70-ae19-4fc2412d4986',40214,'AT'
'ARID75M1187B9B8341','dcaa525e-9af3-4ff9-85c3-be48cfb98c17',10557,'Steve Green'
'AREEJJK1187FB56DC7','f98d1c18-63a2-4f92-8ffd-5fd0d17202d9',61765,'Evolution'
'ARUDY181187B9B5F49','f9bef3fa-4ca3-4e7b-bffd-439839baabfe',128443,'Charlie Walker'
'ARIBJIS11C8A414F70','76c131b2-8d57-4f98-b2bb-1c9630a84f78',262036,'NO-TONE ft.Inusa'
'ARYQQY31187B9ABBE1','6285a40e-f315-4e03-a991-607af695b12c',590644,'Berrog\xc3\xbcetto'
'ARS1OWB1187B99EEAD','1b96b9c9-0832-40cb-9f8d-7274de3733fc',24313,'The New York Dolls'
'ARIH5GU1187FB4C958','b0799818-22cb-4564-8e68-3c410d0722ee',4579,'Silverchair'
'AREBWEH1187B99EA9A','65a8ee1c-20ef-4e2d-bf55-33a35bd7e644',309423,'Beherit'
