song_id,year
'TRAUKNJ128F933A413',1972
'TRAUKJG128F147DAFE',2002
'TRAULTS128F931290',1997
'TRAULGT12903D10B94',1995
'TRAULZG128F425E06C',1981
'TRAULAE128F92FD865',2006
'TRAULOO12903CF47B6',1995
'TRAULEG128F92F035',2007
'TRAULJB128E0786AC7',2001
'TRAUYXI12903CC7355',2009
'TRAUYZG12903CDA4E9',1995
'TRAUYLT128F427538E',2006
'TRAUYOD128F42647FE',1990
'TRAUPWA128F147F2CF',1983
'TRAUPWS128F9338163',1998
'TRAUPEE128F425943A',1964
'TRAUPSV128F427B621',2008
'TRAUWFN128F1462E09',2003
'TRAUWQL128F424696E',2006
'TRAUWCV12903CEE9C5',1968
'TRAUWRW128F9358C69',2003
'TRAUWKJ128F932E096',1984
'TRAUWWP12903CC79C',2008
'TRAUWIL128F9334C00',1996
'TRAIRRA128F42788ED',2000
'TRAIRNE128F146B1FA',2006
'TRAIRIK128F92F0212',1993
'TRAIRHS128F4287576',1993
'TRAIRNT128EF33FF36',2005
'TRAIRSH128F92E4B18',2009
'TRAIUSY12903CF0C92',2010
'TRAIUTE128F92F96F3',2008
'TRAIUYZ128F425BD2F',2004
'TRAIUPS128F92F2825',2004
'TRAIIVU128F14AD113',1999
'TRAIIUE128E07826EC',1993
'TRAIIEV128F934712A',2009
'TRAIIJJ12903CC0B1',1979
'TRAIIXC128F92EA806',2003
'TRAIIPY128F426B797',2003
'TRAINIF128F426416',2000
'TRAIGZU128F4236EB6',2005
'TRAIGTF12903CE60BD',2001
'TRAIGSC128F933BBD7',1999
'TRAIZIR128F934B3A4',2003
'TRAIZQI128F42A51F9',2004
'TRAIZLC12903CE6A57',1998
'TRAIZWI128F4247EFD',2008
'TRAITXM128F428E1F0',1958
'TRAITHR128F42B7E26',2002
'TRAITKZ128F4266CD1',2001
'TRAITOL128F148528',1963
'TRAITHF128F423FDFE',2003
'TRAITDY128F149431C',1990
'TRAITGE128F92FAB2',2007
'TRAISYU128F427F486',2005
'TRAISDO128F9316BD2',1975
'TRAISVG128F42706A4',1998
'TRAISAT128F42BADC2',2006
'TRAISYO128E07888A6',2005
'TRAIAMS128EF34DC1',1982
'TRAIAQY128F4291ECC',1968
'TRAIAFX128F92F7F4C',2001
'TRAIAUB12903CDFB3D',1999
'TRAIATD128F9331CD6',1994
'TRAIARL12903CEE20A',2002
'TRAIAOL12903CEB667',1993
'TRAIACZ128F428C60A',2005
'TRAIAFH128F4271742',1986
'TRAIADF12903D0023E',1982
'TRAIFZX128F92F193C',1987
'TRAIFSM128F42722F1',2007
'TRAIFSJ128F92FE22F',1995
'TRAIOWX128F14750E5',2002
'TRAIOKS12903CFEE8D',2007
'TRAIOBB128F146A944',2000
'TRAIHPX128F428081',2001
'TRAIHWC128F9331CF0',2003
'TRAIHFF128EF351817',1975
'TRAIHSY128F1484AB6',2004
'TRAIMGT128F935F8F2',2000
'TRAIMHP128F425118C',1992
'TRAIMTD128F92E198E',2008
'TRAIMFD128F92ED3CD',1992
'TRAIJER128F9332661',2004
'TRAIJLI128F92FC94A',1988
'TRAIJQV128F421B159',2004
'TRAIJMG12903D08168',1992
'TRAICNK128F428E555',1979
'TRAICIL128F42598E2',2000
'TRAICHS128E0785545',1981
'TRAICBC128F932D9F6',1998
'TRAICGE128F930DFDE',1996
'TRAICJQ12903CF2681',2006
'TRAICKK128F421847C',2005
'TRAIDPY128F425E9D0',2008
'TRAIDGE128F4260E9F',1972
'TRAIDUU128F145B15D',1979
'TRAIVNL128F422CFE2',1978
'TRAIVMM128F4266056',1994
'TRAIVLC12903CF3A0C',1978
'TRAIVZI128F42642DE',2000
'TRAIVMM12903CFAD62',1991
'TRAIVWA128F93506E8',2002
'TRAIVRW128F930F6DD',1989
'TRAIQDI128F92E8E1F',1998
'TRAIQKO128F92E5970',1987
'TRAIQAH128F93402D2',2007
'TRAIQVJ128F93235B3',2009
'TRAIQLE128F93167E7',2004
'TRAIQUG128F92F946E',2008
'TRAIQUW128F4221467',2004
'TRAIQNE128F423851',2006
'TRAIXFB128F423C5A8',1980
'TRAIXTR128F9352D40',2009
'TRAIXQL128F1467D66',1979
'TRAIELD128F92DC682',2003
'TRAIEWD128F42A0039',1971
'TRAIEXH128F9353678',2000
'TRAIBXQ128F425E6A5',2007
'TRAIBXJ128F4260700',1991
'TRAIBMN128E0780C96',2003
'TRAIKVZ12903CBF0F3',1971
'TRAIKSH128E07816DF',1996
'TRAIKBB128F428AD73',2001
'TRAIKBM128F429160A',2004
'TRAIKAW128E0785000',2004
'TRAILTN128F42796D',1992
'TRAILFA128EF349FE5',2007
'TRAILLW128F4278C90',1994
'TRAILKS128F14A3AC9',2006
'TRAIYWQ128F426BC5C',2001
'TRAIYFL128F427D658',2000
'TRAIYDL128E0791583',2005
'TRAIYZW128F9330F7D',2008
'TRAIPQN128F933A3AA',1973
'TRAIPAC128F9320FAA',2008
'TRAIPST128F9302AE9',2009
'TRAIPWD128F4247FEF',2003
'TRAIPZU128F42418F0',2005
'TRAIPZY128E0787299',2000
'TRAIPAB128F42626AE',1987
'TRAIWLU128F427DAB8',1997
'TRAIWNA128F145E2CD',1978
'TRAIWMU128E0783D7D',2004
'TRAIWQJ128F4287A6F',2005
'TRAIWZZ128F9306AFF',1996
'TRAIWSR128F42222BC',2007
'TRAIWNK128F429245D',2007
'TRAIWXX128F1461FE9',2001
'TRAIWKK128F92FA8A9',1995
'TRANRYP128F9326AF9',2009
'TRANRIK128F148C860',1999
'TRANRXY128F4222CB4',1970
'TRANRKN128F93127B',2007
'TRANRWM128F42873F9',2006
'TRANRYX128F1488B7F',2006
'TRANRDW128E0793D49',1975
'TRANRTT128F9347342',2000
'TRANRFB128F1481F1E',1980
'TRANREH128F93462CF',1999
'TRANRER128F92E3424',1990
'TRANRGP128F1465737',2002
'TRANUSB128F9343695',2009
'TRANUVH12903D1059F',2005
'TRANULO128F422E6FE',2003
'TRANUNR12903CE6E2E',1972
'TRANUME128E0789D4C',2005
'TRANUUU12903CD4347',2001
'TRANIVG128F1484DED',1993
'TRANIWM128F1495AB7',1991
'TRANIZO128F9335764',2009
'TRANIWL128F4262AB0',1998
'TRANIUS12903D00EC7',2009
'TRANIUD12903CCE692',2007
'TRANNCH128F14B1A75',1998
'TRANNXH128F933A6B3',1973
'TRANNZZ128F92C22F7',2007
'TRANNCZ128F92F1D22',2008
'TRANNES128F4277849',1999
'TRANNUW128F931B513',2009
'TRANGYF128E0786C33',1994
'TRANGQX128F422F1DE',2004
'TRANGIY128F427FA51',2007
'TRANGMD128F9302413',2002
'TRANGLC128F14B1025',2007
'TRANGCR128F148CF28',1997
'TRANZKG128F429068A',1968
'TRANZYU128F4229CD',2004
'TRANZBO12903CE2E9F',2003
'TRANZFP128E07995A9',1996
'TRANZPN128F934935A',1989
'TRANZIL128F42A2670',1977
'TRANZIC128F931CE6D',2009
'TRANZOR128F9307EFD',1990
'TRANZLM128F92F741E',2006
'TRANZTY128F424D794',1981
'TRANZYG12903CFB180',2009
'TRANTFR128F931C7DA',2009
'TRANTJK128F92E5935',1995
'TRANTEO128F429B51',2005
'TRANTAN128E078B326',1970
'TRANTCK128F428AC39',1979
'TRANTOT128F428ACD8',1992
'TRANSGS128F9303A11',1986
'TRANSVK128F423842C',1991
'TRANSUM128F92E8DF3',1998
'TRANSYV128F428A00C',1990
'TRANSKF128F147FCB4',1988
'TRANALJ128F9318BAF',2007
'TRANANS128F14ABE7E',1993
'TRANAHT128E07895F8',2005
'TRANAIE128F146E588',1999
'TRANADU128F9345BC8',1998
'TRANAUJ128E07860B0',1999
'TRANAGV128F4289B5F',1995
'TRANFMB128F146631E',2003
'TRANFIR128F429180A',1988
'TRANFTA128F92EA606',2007
'TRANFDB12903CD486C',2003
'TRANFNQ128F425EF2',2006
'TRANFBR128F4294EAF',2006
'TRANFFQ12903CFFF64',2008
'TRANOBE12903CE4DF3',1993
'TRANONM128F92EAF7A',2008
'TRANOXA12903CDB0ED',2000
'TRANOEV128F427957F',2003
'TRANOKE128F42703A6',1977
'TRANOHA128F428B1C',1984
'TRANHQG12903CF5C15',1991
'TRANHYE128F92DE232',2008
'TRANHJV128F92D819D',2008
'TRANHRS128F426B925',1998
'TRANHMJ128F9330B50',2001
'TRANHKC128F9309BF4',1963
'TRANHQB128F92E1B21',1987
'TRANMXY128F1489C65',1993
'TRANMKF128E07995A8',1996
'TRANMJW128F92D944A',2004
'TRANMOT128F92EFF19',1992
'TRANMMN128F93405A0',2002
'TRANMHB128F92DAC10',2004
'TRANMRR128F42666C4',1995
'TRANMWO128F426C41A',2008
'TRANMKA128F426C3B0',2008
'TRANJWP128F428560C',1999
'TRANJJM128F4267B03',1990
'TRANJSV128E0799689',2001
'TRANJMO128F425C44D',1991
'TRANJGM128F427A41',2000
'TRANCFS12903C9B61',1996
'TRANCJG128F14528B4',2005
'TRANCOH128F422F31D',2006
'TRANCWY12903C9C82C',1967
'TRANCCN128E0794B18',2005
'TRANCEE128F4267C92',1983
'TRANCOS128F4267DF',2004
'TRANCSE128F93044F1',1998
'TRANDEK128F4259EBC',1980
'TRANDHE128F9305CDA',1988
'TRANDBY128F146E8CC',2006
'TRANVZT128F42AE134',2006
'TRANVEG12903CAFD2C',2010
'TRANVMD128F933AC4A',2009
'TRANVML128F426ACB2',2004
'TRANVCJ128F425FC37',1974
'TRANVKJ128F92F1561',2004
'TRANQRQ12903CC4BB',1966
'TRANQQZ128E079224E',2003
'TRANQEB128F92C46CC',1969
'TRANQNS128F42739D1',2003
'TRANQYI12903CA2BA9',2010
'TRANQDS12903CE3E1D',1975
'TRANQLL128F92F5263',2001
'TRANQDK128F9326202',2009
'TRANXZM128F92D58DF',2008
'TRANXBO128F428CB28',2002
'TRANXZZ128F4230613',1998
'TRANXHZ128F148D4D',2006
'TRANXOR128F930CE22',2000
'TRANEQB128F4284978',1987
'TRANEMQ128F42A10A8',2002
'TRANELG128F424F264',2007
'TRANELD128F4250FCF',1994
'TRANEYV128F4269032',2001
'TRANBMY128F426416A',1989
'TRANBUW128F933C645',1999
'TRANKYM128F428B7A4',1998
'TRANKMZ128F42A0098',1995
'TRANKQG128F9308D2A',1993
'TRANKDX128F42668C0',1968
'TRANKIL128F1476FA2',1980
'TRANLLT128F4226A66',2003
'TRANLIQ12903CF98AE',2008
'TRANLHL12903CF88E5',1997
'TRANLXB128F92FE4F4',1999
'TRANLLL128F42268D9',1997
'TRANLRX128F4259030',2003
'TRANLSP128F14671CA',1994
'TRANLQA128F930F8F8',2006
'TRANLMB12903CA8250',1996
'TRANYLR128F4271924',1990
'TRANYYX128F4276EE3',2000
'TRANYSY128F1473B74',1974
'TRANYLM128F1477EC9',2004
'TRANYAM12903CD9CFC',2007
'TRANPXL128F42B8FED',2004
'TRANPLE128F9322D6F',1997
'TRANPHV128F9344CC3',2002
'TRANPWV128F9341281',2009
'TRANPUZ128F422B236',2007
'TRANPLF128F9340B6E',2007
'TRANWBG128F934AC15',1986
'TRANWOF12903CB3E19',2004
'TRANWLX128F92F47E',1998
'TRANWBU128F42717D4',2001
'TRANWEM128F92D75C4',2008
'TRANWCP12903CF31D3',2004
'TRAGRBP128F422B80A',1988
'TRAGRIH128F426FE32',2003
'TRAGRRP12903CD2911',2009
'TRAGUJK128F42A75C3',1987
'TRAGUMU128F92F6963',2007
'TRAGUCZ128F426E5F6',1991
'TRAGIKK128F42424EF',2005
'TRAGNGY12903C9CD76',2009
'TRAGNQK12903CCB987',2009
'TRAGNBQ128F149CB93',2007
'TRAGNUI128F1471068',1978
'TRAGNYU128F42246AC',1990
'TRAGGHA128F4262D55',1995
'TRAGGMY12903CD9533',2009
'TRAGGVT128F428F842',1987
'TRAGGXK12903CDA84',1975
'TRAGGVS128F4250CE8',2002
'TRAGZHM12903CAEF3A',2010
'TRAGZCW128EF34B85',2006
'TRAGZKI128F4249FBE',1991
'TRAGZRF128E0781872',1994
'TRAGZQD128F428E68',1980
'TRAGTXE128F4229231',1988
'TRAGTPQ128F42920A5',1993
'TRAGTDM12903CE2E9D',2008
'TRAGTFI12903CA06E7',2008
'TRAGSJQ128F149EF8D',2001
'TRAGSGF128E0780CA7',2002
'TRAGSZA128F146A11A',1973
'TRAGSQU128F145693D',1999
'TRAGSOA128E078F934',1977
'TRAGSWL12903CF67C',2001
'TRAGSIT128F426F746',2007
'TRAGSKH12903CCCAA9',2006
'TRAGACV128F1474DEC',2005
'TRAGARS128F427216A',1990
'TRAGALM128F4236C86',2003
'TRAGAVB128F932585E',1975
'TRAGAPY128F92F5DDE',1990
'TRAGALB128EF3676EC',2007
'TRAGADP128EF341C7F',1994
'TRAGAGQ128E0781352',1981
'TRAGAVF128F424829',1983
'TRAGFQG128F42418D5',2005
'TRAGFIS128F14947B0',2003
'TRAGFJM128F427E764',2006
'TRAGFDW128F14682F5',1995
'TRAGFUR128E078B8B3',2005
'TRAGFPP128E078F34C',1998
'TRAGONI128F4292FAE',1991
'TRAGOVG128F42A963D',1999
'TRAGOMV128F4274745',2009
'TRAGHBP128E0793AF7',1983
'TRAGHDO12903CD9736',1992
'TRAGHTH128F92F676E',2002
'TRAGHSE128F14743B2',1994
'TRAGHJX128F426F76F',1978
'TRAGMXK128F9305A50',1998
'TRAGJPA128F92F9665',2009
'TRAGJGZ128F421EE19',1927
'TRAGJQZ128F9302ADA',2008
'TRAGJQL128E078E840',1995
'TRAGJYM128F934B753',2007
'TRAGJFW12903C9D027',2008
'TRAGCED128F9355912',1999
'TRAGCSE128F425FE4',1996
'TRAGCTZ128F4290974',1986
'TRAGCXQ128F426BDD9',2008
'TRAGDCN128F92F9050',1989
'TRAGDRH128F93182E1',2000
'TRAGDYS12903CF569',2005
'TRAGDAF128F92F928C',2003
'TRAGDLM128F4233397',2005
'TRAGDFG128F42934A0',2001
'TRAGDPH128F9344020',2006
'TRAGVJG128F93386C6',1999
'TRAGVJI128F9331513',1997
'TRAGVOF128F4292ED0',1971
'TRAGVRD12903D09FED',2009
'TRAGVRL128F4264526',1990
'TRAGVTG128F92FE9E2',1960
'TRAGVCD128F42A4C01',2006
'TRAGVAO128F4289B5D',1995
'TRAGQQK128F42561A',1967
'TRAGQCY128F147B630',1983
'TRAGQVO128F145C0AF',1991
'TRAGQKG128F9332F7A',2009
'TRAGQLG128F9351109',1981
'TRAGXUZ128F9311745',1959
'TRAGXAI128F4279B2',1982
'TRAGXKH128F428BD2F',2008
'TRAGXBL128F149EBA2',1970
'TRAGETA128F4272C38',2006
'TRAGEVR128F4276B92',1990
'TRAGEQI128F429154D',2005
'TRAGEXH12903CB4C10',1967
'TRAGEHE128F423E5A1',1994
'TRAGEVS128F145FEAD',1979
'TRAGBBI128F4261828',1987
'TRAGBPI128E0792998',1991
'TRAGBND128F92FC400',2000
'TRAGKXX128F424F3B5',1979
'TRAGKQO128F92F0E10',2003
'TRAGKMU128F429757E',2005
'TRAGKUI128F92F4698',1999
'TRAGKVI128F1459B5E',1970
'TRAGKLF128F9315B67',1993
'TRAGKTN128F933C68',1988
'TRAGKLK12903CC4264',1998
'TRAGKAC128F4225537',2003
'TRAGLMS128F425FE0A',1988
'TRAGLZM128F931C995',1992
'TRAGLUU12903D024F2',2006
'TRAGLFE128F428566',1999
'TRAGLAE12903CFFEED',2008
'TRAGLXV128F42601B8',1999
'TRAGLXF128E078703E',2004
'TRAGLSU128F145FFB2',2002
'TRAGYLX128F427C5EC',2003
'TRAGYBS128F4227AD5',2006
'TRAGYJM128EF3466D2',2007
'TRAGPAF128EF34542A',2007
'TRAGPMS128F4248295',2004
'TRAGPEA128F422B47E',2001
'TRAGWOU12903CE3BF1',1993
'TRAGWMO12903CFD994',2001
'TRAGWTT128F148CF2C',1997
'TRAGWJK12903CE640F',1990
'TRAGWKV128F92C316A',2004
'TRAGWPR128F426BDC3',2008
'TRAZRXP12903CBD6A9',2003
'TRAZRFV128F92FAAB6',1970
'TRAZRPT128F425DC9C',2000
'TRAZRBR128E0782989',2006
'TRAZRAR128F1477778',2002
'TRAZRES128F4222850',1998
'TRAZUKY128F426C8BC',1997
'TRAZUVK12903C9ACBA',1999
'TRAZURS128F14A1CD2',2006
'TRAZUVU128F42BABF4',2007
'TRAZUZS128F4242F76',1998
'TRAZIQB128F934B755',2007
'TRAZISB128F427907A',2001
'TRAZIER128F4254BBA',2007
'TRAZIWR128F4234282',1957
'TRAZISI128E078EE2F',1974
'TRAZILC128F4253F29',2006
'TRAZNDI128F9321777',2004
'TRAZNQI12903C9F8FC',2003
'TRAZNFE128F92E49BF',1989
'TRAZNKG12903CDCF8A',2008
'TRAZNLA128F930A44E',1994
'TRAZGQQ128F4278C1A',1998
'TRAZGIF128F934522F',2001
'TRAZGIL128E0793F9',1978
'TRAZZQC128F427A0F5',1991
'TRAZZLJ128E07945F2',1988
'TRAZZON128F930D2DC',1964
'TRAZZXH128F933D2BA',1989
'TRAZZYK128F145E683',1983
'TRAZTWI128F424CF73',1980
'TRAZTJP128F932D96',1998
'TRAZTBZ12903CFB6DA',2007
'TRAZTJH12903CC5137',1998
'TRAZSPX128F4275112',2007
'TRAZSIN128F9352D39',2009
'TRAZSBF128F933BBCA',1997
'TRAZSFV128F14806FE',2005
'TRAZSRJ128F4216E54',2006
'TRAZSCZ128F42554F4',2007
'TRAZSJY128F92CCEA0',1999
'TRAZSDB128F148726F',2006
'TRAZSRV128F1452866',2006
'TRAZSJF12903CB2B42',1978
'TRAZAOK128F9324C9',2000
'TRAZAKG12903CF8157',2008
'TRAZACV128F426983D',1991
'TRAZANO128F429A795',1995
'TRAZAVZ128F428ABFC',2006
'TRAZASM128F932FBEE',2005
'TRAZASN128F427DB44',1981
'TRAZFZS128F4272A31',2007
'TRAZFEX12903CDCF88',2008
'TRAZFYU128F93569C6',2005
'TRAZFAV128F92F1459',1996
'TRAZFKN128F4250CD4',1974
'TRAZOAE128F9347A40',1982
'TRAZOXW128F92E79B2',1991
'TRAZOSB128F9302A07',2002
'TRAZOEU128F92E28DD',2008
'TRAZOSO128F149739D',2006
'TRAZORC128F426C323',2008
'TRAZHAJ128F4289AE1',1993
'TRAZHKJ128F92FB41D',1982
'TRAZHZI128F930653D',1972
'TRAZHMT12903C9D27E',2010
'TRAZHUK128E0789114',2004
'TRAZHXM128F146F711',1998
'TRAZHRE128F92F344E',2009
'TRAZMND128F4269762',2004
'TRAZMIV12903CFC3E9',1999
'TRAZMAV128F14AD215',2004
'TRAZMZY128E078F06A',1977
'TRAZJUH128F934465',1983
'TRAZJFT128F4257871',2004
'TRAZJGD128F4289D2A',2005
'TRAZJOI12903CDA550',2002
'TRAZJNS128F92C3ABA',2000
'TRAZJRY128EF347CD8',1988
'TRAZCOT128E0792471',1987
'TRAZCMY12903CDE03A',2005
