title,artists,entry_1,entry_2,entry_3,weeks_1,weeks_2,weeks_3
"""Somethin' Stupid""
","Nancy Sinatra and Frank Sinatra
","April 15
 1967",,,4,,
"""The Happening""
","The Supremes
","May 13
 1967",,,1,,
"""Groovin'""
","The Young Rascals
","May 20
 1967","June 17
 1967",,2,2,
"""Respect""
","Aretha Franklin
","June 3
 1967",,,2,,
"""Windy""
","The Association
","July 1
 1967",,,4,,
"""Light My Fire""
","The Doors
","July 29
 1967",,,3,,
"""All You Need Is Love""
","The Beatles
","August 19
 1967",,,1,,
"""Ode to Billie Joe""
","Bobbie Gentry
","August 26
 1967",,,4,,
"""The Letter""
","Box Tops
","September 23
 1967",,,4,,
"""To Sir With Love""
","Lulu
","October 21
 1967",,,5,,
"""Incense and Peppermints""
","Strawberry Alarm Clock
","November 25
 1967",,,1,,
"""Daydream Believer""
","The Monkees
","December 2
 1967",,,4,,
"""Hello, Goodbye""
","The Beatles
","December 30
 1967",,,3,,
"""Judy in Disguise (With Glasses)""
","John Fred and His Playboy Band
","January 20
 1968",,,2,,
"""Green Tambourine""
","The Lemon Pipers
","February 3
 1968",,,1,,
"""Love is Blue""
","Paul Mauriat
","February 10
 1968",,,5,,
"""(Sittin' On) The Dock of the Bay""
","Otis Redding
","March 16
 1968",,,4,,
"""Honey""
","Bobby Goldsboro
","April 13
 1968",,,5,,
"""Tighten Up""
","Archie Bell & the Drells
","May 18
 1968",,,2,,
"""Mrs. Robinson""
","Simon & Garfunkel
","June 1
 1968",,,3,,
"""This Guy's in Love with You""
","Herb Alpert
","June 22
 1968",,,4,,
"""Grazing in the Grass""
","Hugh Masekela
","July 20
 1968",,,2,,
"""Hello, I Love You""
","The Doors
","August 3
 1968",,,2,,
"""People Got to Be Free""
","The Rascals
","August 17
 1968",,,5,,
"""Harper Valley PTA""
","Jeannie C. Riley
","September 21
 1968",,,1,,
"""Hey Jude""
","The Beatles
","September 28
 1968",,,9,,
"""Love Child""
","Diana Ross & the Supremes
","November 30
 1968",,,2,,
"""I Heard It Through the Grapevine""
","Marvin Gaye
","December 14
 1968",,,7,,
"""Crimson and Clover""
","Tommy James and the Shondells
","February 1
 1969",,,2,,
"""Everyday People""
","Sly & the Family Stone
","February 15
 1969",,,4,,
"""Dizzy""
","Tommy Roe
","March 15
 1969",,,4,,
"""Aquarius/Let the Sunshine In (The Flesh Failures)""
","The 5th Dimension
","April 12
 1969",,,6,,
"""Get Back""
","The Beatles with Billy Preston
","May 24
 1969",,,5,,
"""Love Theme from Romeo and Juliet""
","Henry Mancini
","June 28
 1969",,,2,,
"""In the Year 2525 (Exordium and Terminus)""
","Zager and Evans
","July 12
 1969",,,6,,
"""Honky Tonk Women""
","The Rolling Stones
","August 23
 1969",,,4,,
"""Sugar, Sugar""
","The Archies
","September 20
 1969",,,4,,
"""I Can't Get Next to You""
","The Temptations
","October 18
 1969",,,2,,
"""Suspicious Minds""
","Elvis Presley
","November 1
 1969",,,1,,
"""Wedding Bell Blues""
","The 5th Dimension
","November 8
 1969",,,3,,
"""Come Together"" / ""Something""
","The Beatles
","November 29
 1969",,,1,,
"""Na Na Hey Hey Kiss Him Goodbye""
","Steam
","December 6
 1969",,,2,,
"""Leaving on a Jet Plane""
","Peter, Paul and Mary
","December 20
 1969",,,1,,
"""Someday We'll Be Together""
","Diana Ross & the Supremes
","December 27
 1969",,,1,,
"""Raindrops Keep Fallin' on My Head""
","B. J. Thomas
","January 3
 1970",,,4,,
"""I Want You Back""
","The Jackson 5
","January 31
 1970",,,1,,
"""Venus""
","Shocking Blue
","February 7
 1970",,,1,,
"""Thank You (Falettinme Be Mice Elf Agin)"" / ""Everybody Is a Star""
","Sly & the Family Stone
","February 14
 1970",,,2,,
"""Bridge over Troubled Water""
","Simon & Garfunkel
","February 28
 1970",,,6,,
"""Let It Be""
","The Beatles
","April 11
 1970",,,2,,
"""ABC""
","The Jackson 5
","April 25
 1970",,,2,,
"""American Woman"" / ""No Sugar Tonight""
","The Guess Who
","May 9
 1970",,,3,,
"""Everything Is Beautiful""
","Ray Stevens
","May 30
 1970",,,2,,
"""The Long and Winding Road"" / ""For You Blue""
","The Beatles
","June 13
 1970",,,2,,
"""The Love You Save""
","The Jackson 5
","June 27
 1970",,,2,,
"""Mama Told Me (Not to Come)""
","Three Dog Night
","July 11
 1970",,,2,,
"""(They Long to Be) Close to You""
","The Carpenters
","July 25
 1970",,,4,,
"""Make It with You""
","Bread
","August 22
 1970",,,1,,
"""War""
","Edwin Starr
","August 29
 1970",,,3,,
"""Ain't No Mountain High Enough""
","Diana Ross
","September 19
 1970",,,3,,
"""Cracklin' Rosie""
","Neil Diamond
","October 10
 1970",,,1,,
"""I'll Be There""
","The Jackson 5
","October 17
 1970",,,5,,
"""I Think I Love You""
","The Partridge Family
","November 21
 1970",,,3,,
"""The Tears of a Clown""
","Smokey Robinson & the Miracles
","December 12
 1970",,,2,,
"""My Sweet Lord"" / ""Isn't It a Pity""
","George Harrison
","December 26
 1970",,,4,,
"""Knock Three Times""
","Dawn
","January 23
 1971",,,3,,
"""One Bad Apple""
","The Osmonds
","February 13
 1971",,,5,,
"""Me and Bobby McGee""
","Janis Joplin
","March 20
 1971",,,2,,
"""Just My Imagination (Running Away with Me)""
","The Temptations
","April 3
 1971",,,2,,
"""Joy to the World""
","Three Dog Night
","April 17
 1971",,,6,,
"""Brown Sugar""
","The Rolling Stones
","May 29
 1971",,,2,,
"""Want Ads""
","Honey Cone
","June 12
 1971",,,1,,
"""It's Too Late"" / ""I Feel the Earth Move""
","Carole King
","June 19
 1971",,,5,,
"""Indian Reservation (The Lament of the Cherokee Reservation Indian)""
","The Raiders
","July 24
 1971",,,1,,
"""You've Got a Friend""
","James Taylor
","July 31
 1971",,,1,,
"""How Can You Mend a Broken Heart""
","Bee Gees
","August 7
 1971",,,4,,
"""Uncle Albert/Admiral Halsey""
","Paul & Linda McCartney
","September 4
 1971",,,1,,
"""Go Away Little Girl""
","Donny Osmond
","September 11
 1971",,,3,,
"""Maggie May"" / ""Reason to Believe""
","Rod Stewart
","October 2
 1971",,,5,,
"""Gypsys, Tramps & Thieves""
","Cher
","November 6
 1971",,,2,,
"""Theme from Shaft""
","Isaac Hayes
","November 20
 1971",,,2,,
"""Family Affair""
","Sly and the Family Stone
","December 4
 1971",,,3,,
"""Brand New Key""
","Melanie
","December 25
 1971",,,3,,
"""American Pie""
","Don McLean
","January 15
 1972",,,4,,
"""Let's Stay Together""
","Al Green
","February 12
 1972",,,1,,
"""Without You""
","Nilsson
","February 19
 1972",,,4,,
"""Heart of Gold""
","Neil Young
","March 18
 1972",,,1,,
"""A Horse with No Name""
","America
","March 25
 1972",,,3,,
"""The First Time Ever I Saw Your Face""
","Roberta Flack
","April 15
 1972",,,6,,
"""Oh Girl""
","The Chi-Lites
","May 27
 1972",,,1,,
"""I'll Take You There""
","The Staple Singers
","June 3
 1972",,,1,,
"""The Candy Man""
","Sammy Davis Jr.
","June 10
 1972",,,3,,
"""Song Sung Blue""
","Neil Diamond
","July 1
 1972",,,1,,
"""Lean on Me""
","Bill Withers
","July 8
 1972",,,3,,
"""Alone Again (Naturally)""
","Gilbert O'Sullivan
","July 29
 1972","September 2
 1972",,4,2,
"""Brandy (You're a Fine Girl)""
","Looking Glass
","August 26
 1972",,,1,,
"""Black and White""
","Three Dog Night
","September 16
 1972",,,1,,
"""Baby, Don't Get Hooked on Me""
","Mac Davis
","September 23
 1972",,,3,,
"""Ben""
","Michael Jackson
","October 14
 1972",,,1,,
"""My Ding-a-Ling""
","Chuck Berry
","October 21
 1972",,,2,,
"""I Can See Clearly Now""
","Johnny Nash
","November 4
 1972",,,4,,
"""Papa Was a Rollin' Stone""
","The Temptations
","December 2
 1972",,,1,,
"""I Am Woman""
","Helen Reddy
","December 9
 1972",,,1,,
"""Me and Mrs. Jones""
","Billy Paul
","December 16
 1972",,,3,,
"""You're So Vain""
","Carly Simon
","January 6
 1973",,,3,,
"""Superstition""
","Stevie Wonder
","January 27
 1973",,,1,,
"""Crocodile Rock""
","Elton John
","February 3
 1973",,,3,,
"""Killing Me Softly with His Song""
","Roberta Flack
","February 24
 1973","March 31
 1973",,4,1,
"""Love Train""
","The O'Jays
","March 24
 1973",,,1,,
"""The Night the Lights Went Out in Georgia""
","Vicki Lawrence
","April 7
 1973",,,2,,
"""Tie a Yellow Ribbon Round the Ole Oak Tree""
","Dawn featuring Tony Orlando
","April 21
 1973",,,4,,
"""You Are the Sunshine of My Life""
","Stevie Wonder
","May 19
 1973",,,1,,
"""Frankenstein""
","The Edgar Winter Group
","May 26
 1973",,,1,,
"""My Love""
","Paul McCartney & Wings
","June 2
 1973",,,4,,
"""Give Me Love (Give Me Peace on Earth)""
","George Harrison
","June 30
 1973",,,1,,
"""Will It Go Round in Circles""
","Billy Preston
","July 7
 1973",,,2,,
"""Bad, Bad Leroy Brown""
","Jim Croce
","July 21
 1973",,,2,,
"""The Morning After""
","Maureen McGovern
","August 4
 1973",,,2,,
"""Touch Me in the Morning""
","Diana Ross
","August 18
 1973",,,1,,
"""Brother Louie""
","Stories
","August 25
 1973",,,2,,
"""Let's Get It On""
","Marvin Gaye
","September 8
 1973","September 22
 1973",,1,1,
"""Delta Dawn""
","Helen Reddy
","September 15
 1973",,,1,,
"""We're an American Band""
","Grand Funk
","September 29
 1973",,,1,,
"""Half-Breed""
","Cher
","October 6
 1973",,,2,,
"""Angie""
","The Rolling Stones
","October 20
 1973",,,1,,
"""Midnight Train to Georgia""
","Gladys Knight & the Pips
","October 27
 1973",,,2,,
"""Keep on Truckin' (Part 1)""
","Eddie Kendricks
","November 10
 1973",,,2,,
"""Photograph""
","Ringo Starr
","November 24
 1973",,,1,,
"""Top of the World""
","The Carpenters
","December 1
 1973",,,2,,
"""The Most Beautiful Girl""
","Charlie Rich
","December 15
 1973",,,2,,
"""Time in a Bottle""
","Jim Croce
","December 29
 1973",,,2,,
"""The Joker""
","Steve Miller Band
","January 12
 1974",,,1,,
"""Show and Tell""
","Al Wilson
","January 19
 1974",,,1,,
"""You're Sixteen""
","Ringo Starr
","January 26
 1974",,,1,,
"""The Way We Were""
","Barbra Streisand
","February 2
 1974","February 16
 1974",,1,2,
"""Love's Theme""
","Love Unlimited Orchestra
","February 9
 1974",,,1,,
"""Seasons in the Sun""
","Terry Jacks
","March 2
 1974",,,3,,
"""Dark Lady""
","Cher
","March 23
 1974",,,1,,
"""Sunshine on My Shoulders""
","John Denver
","March 30
 1974",,,1,,
"""Hooked on a Feeling""
","Blue Swede
","April 6
 1974",,,1,,
"""Bennie and the Jets""
","Elton John
","April 13
 1974",,,1,,
"""TSOP (The Sound of Philadelphia)""
","MFSB and The Three Degrees
","April 20
 1974",,,2,,
"""The Loco-Motion""
","Grand Funk
","May 4
 1974",,,2,,
"""The Streak""
","Ray Stevens
","May 18
 1974",,,3,,
"""Band on the Run""
","Paul McCartney & Wings
","June 8
 1974",,,1,,
"""Billy Don't Be a Hero""
","Bo Donaldson and The Heywoods
","June 15
 1974",,,2,,
"""Sundown""
","Gordon Lightfoot
","June 29
 1974",,,1,,
"""Rock the Boat""
","The Hues Corporation
","July 6
 1974",,,1,,
"""Rock Your Baby""
","George McCrae
","July 13
 1974",,,2,,
"""Annie's Song""
","John Denver
","July 27
 1974",,,2,,
"""Feel Like Makin' Love""
","Roberta Flack
","August 10
 1974",,,1,,
"""The Night Chicago Died""
","Paper Lace
","August 17
 1974",,,1,,
"""(You're) Having My Baby""
","Paul Anka and Odia Coates
","August 24
 1974",,,3,,
"""I Shot the Sheriff""
","Eric Clapton
","September 14
 1974",,,1,,
"""Can't Get Enough of Your Love, Babe""
","Barry White
","September 21
 1974",,,1,,
"""Rock Me Gently""
","Andy Kim
","September 28
 1974",,,1,,
"""I Honestly Love You""
","Olivia Newton-John
","October 5
 1974",,,2,,
"""Nothing From Nothing""
","Billy Preston
","October 19
 1974",,,1,,
"""Then Came You""
","Dionne Warwick and The Spinners
","October 26
 1974",,,1,,
"""You Haven't Done Nothin'""
","Stevie Wonder
","November 2
 1974",,,1,,
"""You Ain't Seen Nothin' Yet""
","Bachman-Turner Overdrive
","November 9
 1974",,,1,,
"""Whatever Gets You thru the Night""
","John Lennon
","November 16
 1974",,,1,,
"""I Can Help""
","Billy Swan
","November 23
 1974",,,2,,
"""Kung Fu Fighting""
","Carl Douglas
","December 7
 1974",,,2,,
"""Cat's in the Cradle""
","Harry Chapin
","December 21
 1974",,,1,,
"""Angie Baby""
","Helen Reddy
","December 28
 1974",,,1,,
"""Lucy in the Sky with Diamonds""
","Elton John
","January 4
 1975",,,2,,
"""Mandy""
","Barry Manilow
","January 18
 1975",,,1,,
"""Please Mr. Postman""
","The Carpenters
","January 25
 1975",,,1,,
"""Laughter in the Rain""
","Neil Sedaka
","February 1
 1975",,,1,,
"""Fire""
","Ohio Players
","February 8
 1975",,,1,,
"""You're No Good""
","Linda Ronstadt
","February 15
 1975",,,1,,
"""Pick Up the Pieces""
","Average White Band
","February 22
 1975",,,1,,
"""Best of My Love""
","Eagles
","March 1
 1975",,,1,,
"""Have You Never Been Mellow""
","Olivia Newton-John
","March 8
 1975",,,1,,
"""Black Water""
","The Doobie Brothers
","March 15
 1975",,,1,,
"""My Eyes Adored You""
","Frankie Valli
","March 22
 1975",,,1,,
"""Lady Marmalade""
","LaBelle
","March 29
 1975",,,1,,
"""Lovin' You""
","Minnie Riperton
","April 5
 1975",,,1,,
"""Philadelphia Freedom""
","Elton John Band
","April 12
 1975",,,2,,
"""(Hey Won't You Play) Another Somebody Done Somebody Wrong Song""
","B. J. Thomas
","April 26
 1975",,,1,,
"""He Don't Love You (Like I Love You)""
","Tony Orlando and Dawn
","May 3
 1975",,,3,,
"""Shining Star""
","Earth, Wind & Fire
","May 24
 1975",,,1,,
"""Before the Next Teardrop Falls""
","Freddy Fender
","May 31
 1975",,,1,,
"""Thank God I'm a Country Boy""
","John Denver
","June 7
 1975",,,1,,
"""Sister Golden Hair""
","America
","June 14
 1975",,,1,,
"""Love Will Keep Us Together""
","Captain & Tennille
","June 21
 1975",,,4,,
"""Listen to What the Man Said""
","Wings
","July 19
 1975",,,1,,
"""The Hustle""
","Van McCoy and the Soul City Symphony
","July 26
 1975",,,1,,
"""One of These Nights""
","Eagles
","August 2
 1975",,,1,,
"""Jive Talkin'""
","Bee Gees
","August 9
 1975",,,2,,
"""Fallin' in Love""
","Hamilton, Joe Frank & Reynolds
","August 23
 1975",,,1,,
"""Get Down Tonight""
","KC and the Sunshine Band
","August 30
 1975",,,1,,
"""Rhinestone Cowboy""
","Glen Campbell
","September 6
 1975",,,2,,
"""Fame""
","David Bowie
","September 20
 1975","October 4
 1975",,1,1,
"""I'm Sorry""
","John Denver
","September 27
 1975",,,1,,
"""Bad Blood""
","Neil Sedaka
","October 11
 1975",,,3,,
