title,artists,entry_1,weeks_1
"""Mi Gente""","J Balvin and Willy William featuring Beyoncé
","50
 2017",1
"""Thunder""","Imagine Dragons
","51
 2017",1
"""T-Shirt""","Migos
","52
 2017",1
"""Rake It Up""","Yo Gotti featuring Nicki Minaj
","53
 2017",1
"""Mercy""","Shawn Mendes
","54
 2017",1
"""Tunnel Vision""","Kodak Black
","55
 2017",1
"""Rockstar""","Post Malone featuring 21 Savage
","56
 2017",1
"""In Case You Didn't Know""","Brett Young
","57
 2017",1
"""Heathens""","Twenty One Pilots
","58
 2017",1
"""Now or Never""","Halsey
","59
 2017",1
"""Caroline""","Aminé
","60
 2017",1
"""Rolex""","Ayo & Teo
","61
 2017",1
"""DNA""","Kendrick Lamar
","62
 2017",1
"""Juju on That Beat (TZ Anthem)""","Zay Hilfigerrr & Zayion McCall
","63
 2017",1
"""Swang""","Rae Sremmurd
","64
 2017",1
"""Passionfruit""","Drake
","65
 2017",1
"""Loyalty""","Kendrick Lamar featuring Rihanna
","66
 2017",1
"""Praying""","Kesha
","67
 2017",1
"""Goosebumps""","Travis Scott featuring Kendrick Lamar
","68
 2017",1
"""Cold""","Maroon 5 featuring Future
","69
 2017",1
"""Broccoli""","DRAM featuring Lil Yachty
","70
 2017",1
"""Slide""","Calvin Harris featuring Frank Ocean and Migos
","71
 2017",1
"""What Ifs""","Kane Brown featuring Lauren Alaina
","72
 2017",1
"""Chained to the Rhythm""","Katy Perry featuring Skip Marley
","73
 2017",1
"""Feels""","Calvin Harris featuring Pharrell Williams, Katy Perry and Big Sean
","74
 2017",1
"""All Time Low""","Jon Bellion
","75
 2017",1
"""Hurricane""","Luke Combs
","76
 2017",1
"""Too Good at Goodbyes""","Sam Smith
","77
 2017",1
"""Young Dumb & Broke""","Khalid
","78
 2017",1
"""Magnolia""","Playboi Carti
","79
 2017",1
"""Love Galore""","SZA featuring Travis Scott
","80
 2017",1
"""Drowning""","A Boogie wit da Hoodie featuring Kodak Black
","81
 2017",1
"""Starving""","Hailee Steinfeld and Grey featuring Zedd
","82
 2017",1
"""Both""","Gucci Mane featuring Drake
","83
 2017",1
"""What About Us""","Pink
","84
 2017",1
"""Swalla""","Jason Derulo featuring Nicki Minaj and Ty Dolla Sign
","85
 2017",1
"""Slippery""","Migos featuring Gucci Mane
","86
 2017",1
"""Sign of the Times""","Harry Styles
","87
 2017",1
"""Water Under the Bridge""","Adele
","88
 2017",1
"""Malibu""","Miley Cyrus
","89
 2017",1
"""Down""","Marian Hill
","90
 2017",1
"""No Promises""","Cheat Codes featuring Demi Lovato
","91
 2017",1
"""Treat You Better""","Shawn Mendes
","92
 2017",1
"""I Get the Bag""","Gucci Mane featuring Migos
","93
 2017",1
"""Small Town Boy""","Dustin Lynch
","94
 2017",1
"""Everyday We Lit""","YFN Lucci featuring PnB Rock
","95
 2017",1
"""Havana""","Camila Cabello featuring Young Thug
","96
 2017",1
"""What Lovers Do""","Maroon 5 featuring SZA
","97
 2017",1
"""Do Re Mi""","Blackbear
","98
 2017",1
"""Look at Me!""","XXXTentacion
","99
 2017",1
"""The Fighter""","Keith Urban featuring Carrie Underwood
","100
 2017",1
